x_r,y_r,theta_r,x,y,theta,v,omega,x_e,y_e,theta_e
1.0302789974212647,0,0,0.82,-0.33,0.26,0.20857889724182857,0.0373751668864707,0.21027899742126477,0.33,-0.26
1.0318798923492432,0,0,0.82,-0.33,0.26,0.21001970267700915,0.0373751668864707,0.2118798923492432,0.33,-0.26
1.0334798002243042,0,0,0.82,-0.33,0.26,0.2114596197645641,0.0373751668864707,0.21347980022430424,0.33,-0.26
1.035078673362732,0,0,0.82,-0.33,0.26,0.21289860558914908,0.0373751668864707,0.215078673362732,0.33,-0.26
1.0366797685623168,0,0,0.82,-0.33,0.26,0.21433959126877544,0.0373751668864707,0.21667976856231685,0.33,-0.26
1.0382786512374877,0,0,0.82,-0.33,0.26,0.2157785856764293,0.0373751668864707,0.2182786512374878,0.33,-0.26
1.0398797607421875,0,0,0.82,-0.33,0.26,0.21721958423065904,0.0373751668864707,0.2198797607421875,0.33,-0.26
1.0414784097671508,0,0,0.82,-0.33,0.27,0.21860598671775358,0.036796113798670135,0.22147840976715083,0.33,-0.27
1.0430803775787354,0,0,0.82,-0.33,0.27,0.22004775774817972,0.036796113798670135,0.22308037757873544,0.33,-0.27
1.0447048711776734,0,0,0.83,-0.33,0.26,0.21256218362259638,0.0373751668864707,0.21470487117767345,0.33,-0.26
1.0462792444229125,0,0,0.84,-0.33,0.26,0.20497911954331158,0.0373751668864707,0.20627924442291257,0.33,-0.26
1.047885971069336,0,0,0.85,-0.33,0.25,0.19747562239661534,0.03795576244472863,0.19788597106933603,0.33,-0.25
1.0494787836074828,0,0,0.86,-0.33,0.25,0.18990915368094746,0.03795576244472863,0.18947878360748283,0.33,-0.25
1.0510784959793091,0,0,0.87,-0.32,0.25,0.18234889481559113,0.03635576244472863,0.18107849597930914,0.32,-0.25
1.052679009437561,0,0,0.88,-0.32,0.24,0.17483786799084558,0.03693784241437193,0.1726790094375611,0.32,-0.24
1.0542772483825684,0,0,0.89,-0.32,0.24,0.16727628304135217,0.03693784241437193,0.1642772483825684,0.32,-0.24
1.0558919382095338,0,0,0.9,-0.32,0.23,0.15977607228868787,0.0375213485878887,0.15589193820953373,0.32,-0.23
1.0574779987335206,0,0,0.91,-0.32,0.23,0.152203526760276,0.0375213485878887,0.14747799873352052,0.32,-0.23
1.059077787399292,0,0,0.92,-0.31,0.23,0.14464333655947031,0.035921348587888695,0.139077787399292,0.31,-0.23
